top_num,loc_num,avg_kl_top,avg_kl_loc,avg_recall
0.0,0.0,0.9471513533916471,1.0421221565733956,0.08571428571428573
0.0,0.05,0.8762063140045612,0.22631164107511825,0.08571428571428573
0.0,0.1,0.856989872214697,0.10948873689882933,0.08571428571428573
0.0,0.2,0.8492816410612564,0.06541205818132083,0.08571428571428573
0.0,0.25,0.7839151888537004,0.037385689622206626,0.08571428571428573
0.0,0.4,0.8230993024624832,0.025533663788789185,0.08571428571428573
0.0,0.45,0.8230993024624832,0.025533663788789185,0.08571428571428573
0.0,0.5,0.8370562069853797,0.010470776989273272,0.08571428571428573
0.0,0.55,0.836754125922275,0.008406624234724928,0.08571428571428573
0.0,0.65,0.8429759578176492,0.0063424714801765866,0.08571428571428573
0.0,0.75,0.8429759578176492,0.0063424714801765866,0.08571428571428573
0.0,0.8,0.8429759578176492,0.0063424714801765866,0.08571428571428573
0.0,0.9,0.8494252741884266,0.0047281310999498,0.08571428571428573
0.0,1.0,2.1727300262236686,0.0062906017209497,0.0
0.05,0.0,0.7063592278288154,0.7464607528781189,0.08571428571428573
0.05,0.05,0.633012573732506,0.2085666972359792,0.08571428571428573
0.05,0.1,0.6205817194003388,0.12097715005272267,0.08571428571428573
0.05,0.2,0.5208150855073226,0.0463079060195161,0.1
0.05,0.25,0.5212394262314917,0.040840615374306485,0.1
0.05,0.4,0.4971712769671325,0.025533663788789185,0.08571428571428573
0.05,0.45,0.46842735362738236,0.02006637314357957,0.08571428571428573
0.05,0.5,0.47041582485094036,0.012534929743821614,0.08571428571428573
0.05,0.55,0.4605419245835721,0.008406624234724928,0.1
0.05,0.65,0.46604521896276313,0.0063424714801765866,0.1142857142857143
0.05,0.75,0.3820300316942493,0.0063424714801765866,0.1142857142857143
0.05,0.8,0.3674306448012895,0.0063424714801765866,0.1142857142857143
0.05,0.9,0.35558422929446937,0.0047281310999498,0.08571428571428573
0.05,1.0,0.6902192289454474,0.007956811860403371,0.028571428571428574
0.1,0.0,0.510092054506906,0.2948709853853589,0.08571428571428573
0.1,0.05,0.4847184525437127,0.19613234626831552,0.08571428571428573
0.1,0.1,0.4730341541411061,0.11677402430893577,0.08571428571428573
0.1,0.2,0.459650255190747,0.0463079060195161,0.08571428571428573
0.1,0.25,0.4605925779819179,0.040840615374306485,0.08571428571428573
0.1,0.4,0.40282081638491035,0.01800222038903123,0.1
0.1,0.45,0.3953015936416149,0.01800222038903123,0.08571428571428573
