recommender,NDCG@5,NDCG@10,MRR,RBO@5,RBO@10
mmr,0.41066170001445823,0.5680433938290634,0.3291678571428571,0.2999704429999999,0.4670618061317599
nrms,0.3832562726017208,0.4468569691409591,0.34154801587301586,0.0,0.0
nrms_rrf_static_user,0.27292253669524486,0.33616719823521896,0.23608373015873016,0.0,0.0
nrms_topics_static,0.27292253669524486,0.33616719823521896,0.23608373015873016,0.0,0.0
pfar,0.27016739652593263,0.33373240826371725,0.23439801587301587,0.04982571899999999,0.13983111189474426
softmax,0.2664323530868868,0.3332635924742804,0.23086944444444443,0.07877616899999998,0.16829079041547854
topic_cali,0.27016739652593263,0.33373240826371725,0.23439801587301587,0.04982571899999999,0.13983111189474426
