pipeline,num_truth,RBP,section_aware_RBP,NDCG@5,NDCG@10,MRR,RBO@5,RBO@10,rank_based_entropy,least_item_promoted,intralist_similarity,total_articles,num_sections
nrms,1.5226241251,0.0926090948,0.1580858955,0.4139380744,0.4785452964,0.3706030887,0.0,0.0,0.0,0.0,,8.9358048994,1.0
nrms_rrf_static_user,1.5226241251,0.0808917361,0.1369655594,0.359091328,0.4253902318,0.3198335288,0.0,0.0,0.0,0.0,,8.9358048994,1.0
nrms_sections,1.5226241251,0.0636385437,0.1773548714,0.3543618577,0.3538081016,0.3146211541,0.0,0.0,0.0,,,2.9463445976,1.0
nrms_topic_scores,1.5226241251,0.0924862017,0.1578007989,0.4134033643,0.4780279294,0.3697477377,0.0,0.0,0.0,,,8.9358048994,1.0
nrms_topics_static,1.5226241251,0.0576514648,0.0954124109,0.2548900279,0.3195800659,0.2144630793,0.0,0.0,0.0,0.0,,8.9358048994,1.0
softmax,1.5226241251,0.0912963081,0.1550253461,0.4070431507,0.4726908982,0.3619880089,0.7396553886,0.7617948474,0.0,0.0,,8.9358048994,1.0
