pipeline,Machine,Stage,WallTime,CPUTime,Power,CPUPower,GPUPower
nrms,screamer,generate,14.324623015942052,17.55134,3996.0,1139.5226217310762,830.822
nrms_rrf_static_user,screamer,generate,21.214063178980723,51.312039,4734.0,1672.7994419932975,1610.4189999999999
nrms_sections,screamer,generate,30.27946939400863,90.68334999999998,5598.0,2160.4180328157963,2379.538
nrms_topic_scores,screamer,generate,28.82588763406966,87.432078,4878.0,2126.522814497323,2312.43
nrms_topics_static,screamer,generate,21.401286841952242,50.963589999999996,4122.0,1710.2422212264964,1584.492
softmax,screamer,generate,14.086717640049756,17.579187,3870.0,1118.3457270989275,806.818
