pipeline,Machine,Stage,WallTime,CPUTime,Power,CPUPower,GPUPower
nrms,screamer,generate,571.0352678470081,3921.3454829999987,309366.0,48161.91244223143,173569.554
nrms_rrf_static_user,screamer,generate,2215.046527878032,13789.219376999989,839934.0,178138.04999583022,328640.546
nrms_sections,screamer,generate,4105.605091913021,25689.78810199998,1449306.0,323924.1117560363,505263.333
nrms_topic_scores,screamer,generate,4050.0513736580033,24838.665767999984,1421523.0,316035.29484810354,501089.561
nrms_topics_static,screamer,generate,2209.848904584069,13754.359010999984,835380.0,177051.10940715985,328048.647
softmax,screamer,generate,574.9706291779876,3973.685419999996,317187.0,48263.42102098536,175390.80299999999
